uid,frame,species,individual,condition,acromion.translateY,acromion.translateZ,acromion.rotateX,acromion.rotateY,acromion.rotateZ,glenoid.translateX,glenoid.translateY,glenoid.translateZ,glenoid.rotateX,glenoid.rotateY,glenoid.rotateZ,elbow.translateX,elbow.translateY,elbow.translateZ,elbow.rotateX,elbow.rotateY,elbow.rotateZ
feb3_13_t2_1,201.0,Tegu,Tegu 2,stand,0.0333134553626077,-0.0358943712795305,16.655837717810698,4.29448120736117,7.151804021951232,0.0002576659239821,0.0004024774204527,7.022145554103076e-05,-17.724004285996667,45.95944761529276,-34.71234990947478,2.3314683517128287e-15,-1.7763568394002505e-15,8.881784197001252e-16,9.14402009685137,14.770104918217818,-127.31592910875564
feb3_12_t2_1,61.0,Tegu,Tegu 2,stand,0.1562074545596319,-0.3019684135627969,9.169032400290623,15.9459656135528,0.1896463381565731,0.0,1.7763568394002505e-15,-1.7763568394002505e-15,-55.09984960367886,-6.153871281412411,-36.82520236046978,1.7763568394002505e-15,-0.0,-8.881784197001252e-16,9.198331004376822,17.833985117870963,-101.76562800891152
feb3_11_t1_1,581.0,Tegu,Tegu 1,stand,0.1464176046656069,-0.2653737937743692,9.994853875702493,14.670175493314233,0.9474336630862008,0.0,5.3290705182007506e-15,3.552713678800501e-15,-53.89921638599991,-13.523893580054976,-3.687902589134715,-1.7763568394002505e-15,1.7763568394002505e-15,1.3322676295501878e-15,9.186684842393417,17.176981824633987,-107.24450801462908
feb3_3_p1_1,701.0,Opossum,Opossum 1,stand,1.7763568394002505e-15,-1.7763568394002505e-15,5.888432135049407,-45.404943915327735,13.393971093088712,-8.881784197001252e-15,-1.7763568394002505e-15,-3.552713678800501e-15,5.67847780654744,-6.011671771407202,-94.84548577268107,1.4210854715202004e-14,-1.9539925233402755e-14,1.7763568394002505e-15,1.708218695259644,-6.028951959478526,-97.27025417498866
feb3_2_p3_1,302.0,Opossum,Opossum 3,stand,1.7763568394002505e-15,-3.552713678800501e-15,-14.887554315981346,-40.97236237247064,-3.037859758898773,-1.7763568394002505e-15,1.1102230246251563e-15,-1.7763568394002505e-15,28.0860907613901,26.3394105363998,-76.28259366703067,1.554312234475219e-14,-1.9539925233402755e-14,-0.0,2.4046595528302115,-6.250182595329656,-103.94398375452286
nov1_5_t1_0,301.0,Tegu,Tegu 1,hi,0.03244260614942881,0.04159333871036978,19.658812708280614,-0.5631509363234091,9.990289085710645,-0.01598690177244879,-0.024968274419376855,-0.004356041952331261,-30.483630507069115,8.670815231153426,-10.30124158089696,-3.5383472108361327e-15,7.060660995293117e-17,3.322664126105311e-15,-5.40422775479155,-20.78827281267998,-45.694439497476125
nov1_5_t1_1,302.3488372093023,Tegu,Tegu 1,hi,0.03184431718893969,0.04069730758490653,19.627470825435726,-0.5109262795515208,9.960612737616955,-0.03666331288309564,-0.05726060863913514,-0.009989857586000557,-30.4892839186452,8.89662492343625,-10.318481660856566,-3.20996658959972e-15,4.4486249316444106e-17,3.020488355047767e-15,-4.897775783052336,-21.13000436239293,-46.63073971390713
nov1_5_t1_2,304.6904761904762,Tegu,Tegu 1,hi,0.030802500234192363,0.03914816105080869,19.57333530143788,-0.42071923208872364,9.909349214339855,-0.06957996862307347,-0.10866970743360382,-0.01895883989158779,-30.498239430164602,9.308947559001952,-10.346917158491374,-2.652035651602057e-15,-2.3195186579830963e-17,2.5371258069044327e-15,-3.9710256652994054,-21.757600555227004,-48.346571287885006
nov1_5_t1_3,307.04651162790697,Tegu,Tegu 1,hi,0.029721370830717457,0.03757067842603919,19.518287308221083,-0.3289913625154624,9.85722031588693,-0.0966088024631552,-0.15088323098752193,-0.026323534842725652,-30.507584734846436,9.760198770143308,-10.376843607591312,-2.1516757238232004e-15,-1.1652307580521558e-16,2.133050898694677e-15,-2.951025699741886,-22.448504878242833,-50.25688506971656
nov1_5_t1_4,309.3953488372093,Tegu,Tegu 1,hi,0.028551768220606354,0.035910541995566175,19.46041349245338,-0.23255840799521124,9.802425935508094,-0.11550598661631224,-0.18039677822754682,-0.031472554393886146,-30.51998556899443,10.253141953634982,-10.414019479209529,-1.756924427861064e-15,-2.2411294455683354e-16,1.836709691625209e-15,-1.8268807275530197,-23.204761199146713,-52.41175988048787
