scorer,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300,DeepCut_resnet50_ReachingAug30shuffle1_300
bodyparts,Hand,Hand,Hand,Finger1,Finger1,Finger1,Tongue,Tongue,Tongue,Joystick1,Joystick1,Joystick1,Joystick2,Joystick2,Joystick2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,366.8534035682678,448.39644050598145,0.16908910870552063,363.4352821111679,453.843927025795,0.1703128218650818,377.0030589103699,458.08802115917206,0.08078745007514954,357.0332236289978,462.90266275405884,0.3327954411506653,361.21228408813477,663.858051776886,0.16285434365272522
1,370.23838114738464,454.5519037246704,0.16634440422058105,361.49981927871704,460.91859555244446,0.1975458264350891,378.32879877090454,458.7147283554077,0.09804916381835938,358.10451102256775,462.49293994903564,0.37386399507522583,360.0819878578186,639.4287486076355,0.18059247732162476
2,370.40580129623413,454.95622849464417,0.1573035717010498,361.8296000957489,460.82388335466385,0.19627854228019714,378.20217847824097,458.16101908683777,0.09447604417800903,356.6044701933861,462.0961136817932,0.32719582319259644,359.5999402999878,654.8397798538208,0.1830526888370514
3,368.0364398956299,446.9568119049072,0.16378775238990784,361.4954311847687,460.8768552541733,0.19767069816589355,377.9265546798706,458.46744322776794,0.09636157751083374,357.4118206501007,462.7009119987488,0.3525890111923218,359.6578371524811,655.4836342334747,0.17543458938598633
4,370.0355232954025,454.69173431396484,0.17040759325027466,361.60080575942993,460.97055941820145,0.20739740133285522,378.4148554801941,458.54374182224274,0.09757104516029358,357.1834969520569,462.61230278015137,0.35562586784362793,360.3921480178833,655.209534406662,0.18065205216407776
5,362.219264626503,445.2463983297348,0.1774677336215973,362.8498946428299,454.26132798194885,0.21405968070030212,378.377001285553,458.5271098613739,0.0937337577342987,357.7879217863083,462.68152236938477,0.3655323386192322,359.34882831573486,655.5404462814331,0.17584508657455444
6,370.3690823316574,454.509893655777,0.1632545292377472,361.4855601787567,460.80531764030457,0.19044485688209534,378.23877716064453,458.35594940185547,0.09454992413520813,357.5744695663452,462.4089012145996,0.339974969625473,359.91892099380493,655.1789615154266,0.1918734610080719
7,370.8727596998215,455.0849540233612,0.15602415800094604,361.4811599254608,460.8225350379944,0.1947854459285736,378.15108013153076,458.0649837255478,0.09215050935745239,357.0251762866974,462.8050146102905,0.3676164150238037,360.0939302444458,654.9121134281158,0.1873500645160675
